resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_dram_accesses,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_mac_pj,energy_sram_pj,energy_dram_pj,energy_total_pj,energy_total_mj
1080p,1920,1080,128,128,5,64,4096,50.0,ws,run_0432a7a3ff92,0be619527299,70856db78b1f,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,35773.0,16573.0,0.0,4292760.0,0.0,49152000,51121080.0,115396080.0,0.6033910577445242,0.6103515625,0.6010699044298853,0.041472,9830400.0,255605400.0,11539608000.0,11805043800.0,11.8050438
1080p,1920,1080,128,128,5,64,4096,50.0,ws,run_0432a7a3ff92,0be619527299,70856db78b1f,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36101.0,16573.0,0.0,4332120.0,0.0,35389440,21629040.0,117242160.0,0.4344415615760574,0.439453125,0.4327703311895173,0.041472,7077888.0,108145200.0,11724216000.0,11839439088.0,11.839439088
hires,2048,2048,128,128,5,64,4096,50.0,ws,run_0432a7a3ff92,2d7710924d93,70856db78b1f,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,35773.0,16573.0,0.0,9157888.0,0.0,104857600,109058304.0,246178304.0,0.6033910577445242,0.6103515625,0.6010699044298853,0.08388608,20971520.0,545291520.0,24617830400.0,25184093440.0,25.18409344
hires,2048,2048,128,128,5,64,4096,50.0,ws,run_0432a7a3ff92,2d7710924d93,70856db78b1f,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36101.0,16573.0,0.0,9241856.0,0.0,75497472,46141952.0,250116608.0,0.4344415615760574,0.439453125,0.4327703311895173,0.08388608,15099494.4,230709760.0,25011660800.0,25257470054.4,25.257470054400002
1080p,1920,1080,128,128,5,16,1024,50.0,os,run_04610d81d43e,b9c4d46d03d9,04610d81d43e,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,28366.0,24639.0,0.0,425490.0,0.0,2688000,3178560.0,2801520.0,2.8410243922237104,6.25,2.8409090909091166,0.3483,537600.0,15892800.0,280152000.0,296582400.0,0.2965824
1080p,1920,1080,128,128,5,16,1024,50.0,os,run_04610d81d43e,b9c4d46d03d9,04610d81d43e,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,19048.0,17471.0,0.0,285720.0,0.0,1935360,1518720.0,1185540.0,2.884780493389045,12.5,2.884615384615372,0.3483,387072.0,7593600.0,118554000.0,126534672.0,0.126534672
720p,1280,720,128,128,7,16,1024,200.0,os,run_0542f0a5c9c7,,,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,51791.0,50559.0,0.0,517910.0,0.0,5017600,5638400.0,16644400.0,3.876658952906505,6.25,3.876582278481045,0.2412,1003520.0,28192000.0,1664440000.0,1693635520.0,1.69363552
720p,1280,720,128,128,7,16,1024,200.0,os,run_0542f0a5c9c7,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,25522.0,24959.0,0.0,255220.0,0.0,1843200,1446400.0,1128800.0,2.8847309587723866,12.5,2.8846153846153593,0.2412,368640.0,7232000.0,112880000.0,120480640.0,0.12048064
720p,1280,720,128,128,11,16,4096,50.0,ws,run_0581c33fcb80,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,102798.0,82287.0,0.0,1027980.0,0.0,12390400,13210810.0,19711700.0,5.8818525404985,5.908203125,5.8732161926026585,0.5004000000000001,2478080.0,66054050.0,1971170000.0,2039702130.0,2.03970213
720p,1280,720,128,128,11,16,4096,50.0,ws,run_0581c33fcb80,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,13971.0,10285.0,0.0,139710.0,0.0,1843200,1126580.0,1844800.0,7.0004861448711715,7.03125,6.989612658965148,0.5004000000000001,368640.0,5632900.0,184480000.0,190481540.0,0.19048154
720p,1280,720,128,128,7,64,256,200.0,os,run_05cbcfc55440,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,149732.0,149356.0,104557.0,7486600.0,5227850.0,40140800,43225600.0,1490729200.0,0.1312300811483971,1.5625,0.4375000000000013,0.015075,8028160.0,216128000.0,149072920000.0,149297076160.0,149.29707616
720p,1280,720,128,128,7,64,256,200.0,os,run_05cbcfc55440,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,35017.0,34559.0,0.0,1750850.0,0.0,14745600,10880000.0,40018400.0,0.2083393616713446,3.125,0.2083333333333328,0.015075,2949120.0,54400000.0,4001840000.0,4059189120.0,4.05918912
1080p,1920,1080,128,128,7,64,256,200.0,os,run_05cbcfc55440,f7e01d99bf05,81d551666a14,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,149732.0,149356.0,104557.0,17967840.0,12546840.0,96337920,103741440.0,3577750080.0,0.1312300811483971,1.5625,0.4375000000000013,0.033918750000000004,19267584.0,518707200.0,357775008000.0,358312982784.0,358.312982784
