resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,32,1024,50.0,os,gaussian,5015415.0,2.20929948,10072335.0,4.64297544,49.79396535162899,47.583699473542765
1080p,1920,1080,128,128,3,32,1024,50.0,os,sobel,5056920.0,2.43367596,10072335.0,4.64297544,50.20603464837101,52.416300526457235
1080p,1920,1080,128,128,3,32,1024,50.0,ws,gaussian,2762880.0,3.495528555,5567265.0,7.212523665,49.627240664850696,48.46470829569195
1080p,1920,1080,128,128,3,32,1024,50.0,ws,sobel,2804385.0,3.71699511,5567265.0,7.212523665,50.37275933514931,51.53529170430805
1080p,1920,1080,128,128,3,32,1024,200.0,os,gaussian,4704315.0,2.21192448,9419010.0,4.64822544,49.944898667694375,47.586428596285984
1080p,1920,1080,128,128,3,32,1024,200.0,os,sobel,4714695.0,2.43630096,9419010.0,4.64822544,50.05510133230563,52.41357140371402
1080p,1920,1080,128,128,3,32,1024,200.0,ws,gaussian,2255325.0,3.4986785549999997,4521030.0,7.218823665,49.885203150609485,48.466048172960875
1080p,1920,1080,128,128,3,32,1024,200.0,ws,sobel,2265705.0,3.7201451100000003,4521030.0,7.218823665,50.11479684939052,51.533951827039125
1080p,1920,1080,128,128,3,32,1024,800.0,os,gaussian,4626600.0,2.22242448,9255735.0,4.66922544,49.986305787708915,47.597283715647706
1080p,1920,1080,128,128,3,32,1024,800.0,os,sobel,4629135.0,2.44680096,9255735.0,4.66922544,50.013694212291085,52.402716284352294
1080p,1920,1080,128,128,3,32,1024,800.0,ws,gaussian,2128500.0,3.511578555,4259535.0,7.244623665000001,49.97024323077519,48.471510976685074
1080p,1920,1080,128,128,3,32,1024,800.0,ws,sobel,2131035.0,3.7330451100000004,4259535.0,7.244623665000001,50.02975676922481,51.52848902331492
1080p,1920,1080,128,128,3,32,4096,50.0,os,gaussian,5015415.0,2.20929948,10072335.0,4.64297544,49.79396535162899,47.583699473542765
1080p,1920,1080,128,128,3,32,4096,50.0,os,sobel,5056920.0,2.43367596,10072335.0,4.64297544,50.20603464837101,52.416300526457235
