resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,8,1024,200.0,ws,sobel,4344720.0,6.285364854,accelergy,8668680.0,11.882143281000001,50.11974141391769,52.89756826994787
1080p,1920,1080,128,128,3,8,1024,800.0,os,gaussian,5987400.0,3.486548352,accelergy,11977335.0,7.331197056,49.989417512326405,47.55769522177198
1080p,1920,1080,128,128,3,8,1024,800.0,os,sobel,5989935.0,3.844648704,accelergy,11977335.0,7.331197056,50.010582487673595,52.44230477822802
1080p,1920,1080,128,128,3,8,1024,800.0,ws,gaussian,4195740.0,5.622218427,accelergy,8396670.0,11.933023281,49.96909489118901,47.11478637565226
1080p,1920,1080,128,128,3,8,1024,800.0,ws,sobel,4200930.0,6.310804854,accelergy,8396670.0,11.933023281,50.030905108811,52.885213624347735
1080p,1920,1080,128,128,3,8,4096,50.0,os,gaussian,6376215.0,3.461228352,accelergy,12793935.0,7.280557056,49.837794236097025,47.5407077422401
1080p,1920,1080,128,128,3,8,4096,50.0,os,sobel,6417720.0,3.819328704,accelergy,12793935.0,7.280557056,50.162205763902975,52.459292257759905
1080p,1920,1080,128,128,3,8,4096,50.0,ws,gaussian,4899465.0,6.092618427000001,accelergy,9881835.0,12.873823281,49.580518193230304,47.32563352793471
1080p,1920,1080,128,128,3,8,4096,50.0,ws,sobel,4982370.0,6.781204853999999,accelergy,9881835.0,12.873823281,50.419481806769696,52.674366472065294
1080p,1920,1080,128,128,3,8,4096,200.0,os,gaussian,6065115.0,3.465428352,accelergy,12140610.0,7.288957055999999,49.95725091243356,47.54354190010473
1080p,1920,1080,128,128,3,8,4096,200.0,os,sobel,6075495.0,3.8235287039999997,accelergy,12140610.0,7.288957055999999,50.04274908756644,52.45645809989527
1080p,1920,1080,128,128,3,8,4096,200.0,ws,gaussian,4339560.0,6.095978427,accelergy,8699880.0,12.880543281000001,49.88068800948979,47.32702879071984
1080p,1920,1080,128,128,3,8,4096,200.0,ws,sobel,4360320.0,6.784564854,accelergy,8699880.0,12.880543281000001,50.11931199051022,52.67297120928015
1080p,1920,1080,128,128,3,8,4096,800.0,os,gaussian,5987400.0,3.486548352,accelergy,11977335.0,7.331197056,49.989417512326405,47.55769522177198
1080p,1920,1080,128,128,3,8,4096,800.0,os,sobel,5989935.0,3.844648704,accelergy,11977335.0,7.331197056,50.010582487673595,52.44230477822802
1080p,1920,1080,128,128,3,8,4096,800.0,ws,gaussian,4199580.0,6.1137384269999995,accelergy,8404350.0,12.916063281,49.96912313266344,47.33437963248083
