resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
720p,1280,720,128,128,5,16,1024,800.0,os,run_692958dc3c87,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,2008000.0,0.0,14745600,11571200.0,7372800.0,921600.0,3276800.0,9078400.0,7400000.0,40000.0,1638400.0,2.8846876173782396,12.5,2.884615384615348,0.1548,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4608000.0,16384000.0,57856000.0,1184000000.0,6400000.0,262144000.0,1452544000.0,1513791488.0,1.513791488
1080p,1920,1080,128,128,5,16,1024,800.0,os,run_692958dc3c87,d89ef743b3a2,380ad9e1afa5,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,56635.0,56319.0,0.0,6796200.0,0.0,49152000,58122240.0,49152000.0,3072000.0,5898240.0,58894080.0,56832000.0,96000.0,1966080.0,2.840959534082637,6.25,2.8409090909090677,0.3483,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11304960.0,245760000.0,15360000.0,29491200.0,290611200.0,9093120000.0,15360000.0,314572800.0,9423052800.0,9724968960.0,9.72496896
1080p,1920,1080,128,128,5,16,1024,800.0,os,run_692958dc3c87,d89ef743b3a2,380ad9e1afa5,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,4819200.0,0.0,35389440,27770880.0,17694720.0,2211840.0,7864320.0,21788160.0,17760000.0,96000.0,3932160.0,2.8846876173782396,12.5,2.884615384615348,0.3483,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,11059200.0,39321600.0,138854400.0,2841600000.0,15360000.0,629145600.0,3486105600.0,3633099571.2,3.6330995712
hires,2048,2048,128,128,5,16,1024,800.0,os,run_692958dc3c87,432f5fccbcc1,380ad9e1afa5,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,56635.0,56319.0,0.0,14498560.0,0.0,104857600,123994112.0,104857600.0,6553600.0,12582912.0,125640704.0,121241600.0,204800.0,4194304.0,2.840959534082637,6.25,2.8409090909090677,0.704512,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,24117248.0,524288000.0,32768000.0,62914560.0,619970560.0,19398656000.0,32768000.0,671088640.0,20102512640.0,20746600448.0,20.746600448
hires,2048,2048,128,128,5,16,1024,800.0,os,run_692958dc3c87,432f5fccbcc1,380ad9e1afa5,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,40160.0,39935.0,0.0,10280960.0,0.0,75497472,59244544.0,37748736.0,4718592.0,16777216.0,46481408.0,37888000.0,204800.0,8388608.0,2.8846876173782396,12.5,2.884615384615348,0.704512,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23592960.0,83886080.0,296222720.0,6062080000.0,32768000.0,1342177280.0,7437025280.0,7750612418.56,7.75061241856
1080p,1920,1080,128,128,7,32,256,800.0,ws,run_692a539baf8c,38d94dcef542,692a539baf8c,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,14614.0,14523.0,0.0,219210.0,0.0,5268480,5484255.0,5268480.0,735.0,215040.0,5567040.0,5328000.0,24000.0,215040.0,2.361770983956483,2.392578125,2.351569998628822,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1211750.4000000001,26342400.0,3675.0,1075200.0,27421275.0,852480000.0,3840000.0,34406400.0,890726400.0,919359425.4,0.9193594253999999
1080p,1920,1080,128,128,7,32,256,800.0,ws,run_692a539baf8c,38d94dcef542,692a539baf8c,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,7352.0,7261.0,0.0,110280.0,0.0,1935360,1182990.0,967680.0,270.0,215040.0,2003040.0,1776000.0,12000.0,215040.0,1.735298168296378,1.7578125,1.727684080625257,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,1350.0,1075200.0,5914950.0,284160000.0,1920000.0,34406400.0,320486400.0,326846482.8,0.3268464828
1080p,1920,1080,128,128,5,32,4096,50.0,os,run_6944ece96afd,c192141f4ea0,6944ece96afd,bottom_edge,128,56,15,gaussian_k5,gaussian,7168,1,25,179200,7920,7168,23214.0,19487.0,0.0,348210.0,0.0,2688000,3094560.0,2688000.0,84000.0,322560.0,2807520.0,2688000.0,12000.0,107520.0,0.8980345871606712,3.125,0.8979885057471215,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,618240.0,13440000.0,420000.0,1612800.0,15472800.0,430080000.0,1920000.0,17203200.0,449203200.0,465294240.0,0.46529424
1080p,1920,1080,128,128,5,32,4096,50.0,os,run_6944ece96afd,c192141f4ea0,6944ece96afd,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,17480.0,15903.0,0.0,262200.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,1187790.0,968250.0,4500.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,302400.0,2150400.0,7291200.0,154920000.0,720000.0,34406400.0,190046400.0,197782732.8,0.1977827328
720p,1280,720,128,128,5,16,4096,200.0,ws,run_695e6cf13aa3,,,bottom_edge,128,80,10,gaussian_k5,gaussian,10240,1,25,256000,11088,10240,22312.0,20571.0,0.0,223120.0,0.0,2560000,2765050.0,2560000.0,250.0,204800.0,3486800.0,3278000.0,4000.0,204800.0,4.861212386369161,4.8828125,4.853897679836909,0.1548,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,588800.0,12800000.0,1250.0,1024000.0,13825250.0,524480000.0,640000.0,32768000.0,557888000.0,572302050.0,0.57230205
720p,1280,720,128,128,5,16,4096,200.0,ws,run_695e6cf13aa3,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,11207.0,10285.0,0.0,112070.0,0.0,1843200,1126580.0,921600.0,180.0,204800.0,1846800.0,1640000.0,2000.0,204800.0,7.0004861448711715,7.03125,6.989612658965148,0.1548,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,423936.0,4608000.0,900.0,1024000.0,5632900.0,262400000.0,320000.0,32768000.0,295488000.0,301544836.0,0.301544836
720p,1280,720,128,128,7,128,1024,200.0,os,run_69abb86f964c,,,bottom_edge,128,80,10,gaussian_k7,gaussian,10240,1,49,501760,11524,10240,25471.0,24239.0,0.0,254710.0,0.0,5017600,5364000.0,5017600.0,39200.0,307200.0,16700400.0,16534000.0,64000.0,102400.0,0.1263459713684558,0.78125,0.1263407590759075,0.004608,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1154048.0,25088000.0,196000.0,1536000.0,26820000.0,2645440000.0,10240000.0,16384000.0,2672064000.0,2700038048.0,2.700038048
720p,1280,720,128,128,7,128,1024,200.0,os,run_69abb86f964c,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,21602.0,21039.0,0.0,216020.0,0.0,1843200,1345600.0,921600.0,14400.0,409600.0,1138800.0,922000.0,12000.0,204800.0,0.0534721231997718,1.5625,0.0534695817490493,0.004608,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,423936.0,4608000.0,72000.0,2048000.0,6728000.0,147520000.0,1920000.0,32768000.0,182208000.0,189359936.0,0.189359936
720p,1280,720,128,128,3,8,256,200.0,ws,run_69ed72c16e71,,,full,128,128,50,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33269.0,32811.0,0.0,1663450.0,0.0,7372800,9011650.0,7372800.0,450.0,1638400.0,10498400.0,8850000.0,10000.0,1638400.0,7.022035293041967,7.03125,7.018826539937854,0.38880000000000003,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1695744.0,36864000.0,2250.0,8192000.0,45058250.0,1416000000.0,1600000.0,262144000.0,1679744000.0,1726497994.0,1.726497994
720p,1280,720,128,128,3,8,256,200.0,ws,run_69ed72c16e71,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33139.0,32811.0,0.0,1656950.0,0.0,14745600,10650500.0,7372800.0,900.0,3276800.0,12136800.0,8850000.0,10000.0,3276800.0,14.044070586083937,14.0625,14.037653079875708,0.38880000000000003,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4500.0,16384000.0,53252500.0,1416000000.0,1600000.0,524288000.0,1941888000.0,1998531988.0,1.998531988
1080p,1920,1080,128,128,3,8,256,200.0,ws,run_69ed72c16e71,370e94e54049,1a04fe4b845d,full,128,128,120,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33269.0,32811.0,0.0,3992280.0,0.0,17694720,21627960.0,17694720.0,1080.0,3932160.0,25196160.0,21240000.0,24000.0,3932160.0,7.022035293041967,7.03125,7.018826539937854,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4069785.6,88473600.0,5400.0,19660800.0,108139800.0,3398400000.0,3840000.0,629145600.0,4031385600.0,4143595185.6,4.1435951856
1080p,1920,1080,128,128,3,8,256,200.0,ws,run_69ed72c16e71,370e94e54049,1a04fe4b845d,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33139.0,32811.0,0.0,3976680.0,0.0,35389440,25561200.0,17694720.0,2160.0,7864320.0,29128320.0,21240000.0,24000.0,7864320.0,14.044070586083937,14.0625,14.037653079875708,0.8748,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,10800.0,39321600.0,127806000.0,3398400000.0,3840000.0,1258291200.0,4660531200.0,4796476771.2,4.7964767712
hires,2048,2048,128,128,3,8,256,200.0,ws,run_69ed72c16e71,73c0361acbdc,1a04fe4b845d,full,128,128,256,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,33269.0,32811.0,0.0,8516864.0,0.0,37748736,46139648.0,37748736.0,2304.0,8388608.0,53751808.0,45312000.0,51200.0,8388608.0,7.022035293041967,7.03125,7.018826539937854,1.769472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8682209.280000001,188743680.0,11520.0,41943040.0,230698240.0,7249920000.0,8192000.0,1342177280.0,8600289280.0,8839669729.279999,8.839669729279999
hires,2048,2048,128,128,3,8,256,200.0,ws,run_69ed72c16e71,73c0361acbdc,1a04fe4b845d,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,33139.0,32811.0,0.0,8483584.0,0.0,75497472,54530560.0,37748736.0,4608.0,16777216.0,62140416.0,45312000.0,51200.0,16777216.0,14.044070586083937,14.0625,14.037653079875708,1.769472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23040.0,83886080.0,272652800.0,7249920000.0,8192000.0,2684354560.0,9942466560.0,10232483778.560001,10.23248377856
720p,1280,720,128,128,7,8,256,50.0,os,run_69f7330610d8,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,130528.0,129023.0,0.0,6526400.0,0.0,40140800,47616000.0,40140800.0,5017600.0,2457600.0,83299200.0,82460000.0,20000.0,819200.0,9.722297574850996,12.5,9.722222222222628,0.9648,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9232384.0,200704000.0,25088000.0,12288000.0,238080000.0,13193600000.0,3200000.0,131072000.0,13327872000.0,13575184384.0,13.575184384
720p,1280,720,128,128,7,8,256,50.0,os,run_69f7330610d8,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,48936.0,47103.0,0.0,2446800.0,0.0,14745600,12492800.0,7372800.0,1843200.0,3276800.0,25203400.0,23560000.0,5000.0,1638400.0,9.782816381122222,25.0,9.782608695652344,0.9648,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,9216000.0,16384000.0,62464000.0,3769600000.0,800000.0,262144000.0,4032544000.0,4098399488.0,4.098399488
1080p,1920,1080,128,128,7,8,256,50.0,os,run_69f7330610d8,10de49131133,3bff45f0cbc7,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,130528.0,129023.0,0.0,15663360.0,0.0,96337920,114278400.0,96337920.0,12042240.0,5898240.0,199918080.0,197904000.0,48000.0,1966080.0,9.722297574850996,12.5,9.722222222222628,2.1708000000000003,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,22157721.6,481689600.0,60211200.0,29491200.0,571392000.0,31664640000.0,7680000.0,314572800.0,31986892800.0,32580442521.6,32.5804425216
1080p,1920,1080,128,128,7,8,256,50.0,os,run_69f7330610d8,10de49131133,3bff45f0cbc7,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,48936.0,47103.0,0.0,5872320.0,0.0,35389440,29982720.0,17694720.0,4423680.0,7864320.0,60488160.0,56544000.0,12000.0,3932160.0,9.782816381122222,25.0,9.782608695652344,2.1708000000000003,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,22118400.0,39321600.0,149913600.0,9047040000.0,1920000.0,629145600.0,9678105600.0,9836158771.2,9.836158771200001
hires,2048,2048,128,128,7,8,256,50.0,os,run_69f7330610d8,3507f80fbc09,3bff45f0cbc7,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,130528.0,129023.0,0.0,33415168.0,0.0,205520896,243793920.0,205520896.0,25690112.0,12582912.0,426491904.0,422195200.0,102400.0,4194304.0,9.722297574850996,12.5,9.722222222222628,4.390912,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,47269806.080000006,1027604480.0,128450560.0,62914560.0,1218969600.0,67551232000.0,16384000.0,671088640.0,68238704640.0,69504944046.08,69.50494404608
hires,2048,2048,128,128,7,8,256,50.0,os,run_69f7330610d8,3507f80fbc09,3bff45f0cbc7,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,48936.0,47103.0,0.0,12527616.0,0.0,75497472,63963136.0,37748736.0,9437184.0,16777216.0,129041408.0,120627200.0,25600.0,8388608.0,9.782816381122222,25.0,9.782608695652344,4.390912,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,47185920.0,83886080.0,319815680.0,19300352000.0,4096000.0,1342177280.0,20646625280.0,20983805378.56,20.98380537856
720p,1280,720,128,128,5,128,256,50.0,os,run_6a149dbdfbd1,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,576989.0,575484.0,539773.0,28849450.0,26988650.0,20480000,23097600.0,20480000.0,160000.0,2457600.0,1438139200.0,1437160000.0,160000.0,819200.0,0.0043441694295584,0.78125,0.0700044802867381,0.018432,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4710400.0,102400000.0,800000.0,12288000.0,115488000.0,229945600000.0,25600000.0,131072000.0,230102272000.0,230222470400.0,230.2224704
720p,1280,720,128,128,5,128,256,50.0,os,run_6a149dbdfbd1,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,35496.0,33663.0,0.0,1774800.0,0.0,14745600,10764800.0,7372800.0,115200.0,3276800.0,39983400.0,38285000.0,60000.0,1638400.0,0.0534711701274396,1.5625,0.0534695817490493,0.018432,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,576000.0,16384000.0,53824000.0,6125600000.0,9600000.0,262144000.0,6397344000.0,6454559488.0,6.454559488
1080p,1920,1080,128,128,5,128,256,50.0,os,run_6a149dbdfbd1,b04db2ee302e,ef650fa52ad6,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,576989.0,575484.0,539773.0,69238680.0,64772760.0,49152000,55434240.0,49152000.0,384000.0,5898240.0,3451534080.0,3449184000.0,384000.0,1966080.0,0.0043441694295584,0.78125,0.0700044802867381,0.041472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11304960.0,245760000.0,1920000.0,29491200.0,277171200.0,551869440000.0,61440000.0,314572800.0,552245452800.0,552533928960.0,552.53392896
1080p,1920,1080,128,128,5,128,256,50.0,os,run_6a149dbdfbd1,b04db2ee302e,ef650fa52ad6,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,35496.0,33663.0,0.0,4259520.0,0.0,35389440,25835520.0,17694720.0,276480.0,7864320.0,95960160.0,91884000.0,144000.0,3932160.0,0.0534711701274396,1.5625,0.0534695817490493,0.041472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,1382400.0,39321600.0,129177600.0,14701440000.0,23040000.0,629145600.0,15353625600.0,15490942771.2,15.4909427712
hires,2048,2048,128,128,5,128,256,50.0,os,run_6a149dbdfbd1,abde02608b26,ef650fa52ad6,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,576989.0,575484.0,539773.0,147709184.0,138181888.0,104857600,118259712.0,104857600.0,819200.0,12582912.0,7363272704.0,7358259200.0,819200.0,4194304.0,0.0043441694295584,0.78125,0.0700044802867381,0.08388608,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,24117248.0,524288000.0,4096000.0,62914560.0,591298560.0,1177321472000.0,131072000.0,671088640.0,1178123632640.0,1178739048448.0,1178.739048448
hires,2048,2048,128,128,5,128,256,50.0,os,run_6a149dbdfbd1,abde02608b26,ef650fa52ad6,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,35496.0,33663.0,0.0,9086976.0,0.0,75497472,55115776.0,37748736.0,589824.0,16777216.0,204715008.0,196019200.0,307200.0,8388608.0,0.0534711701274396,1.5625,0.0534695817490493,0.08388608,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,2949120.0,83886080.0,275578880.0,31363072000.0,49152000.0,1342177280.0,32754401280.0,33047344578.56,33.04734457856
1080p,1920,1080,128,128,11,16,4096,50.0,os,run_6a968439397d,bee37f27cd4e,6a968439397d,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,85137.0,67647.0,0.0,1277055.0,0.0,13009920,14145600.0,13009920.0,813120.0,322560.0,13147020.0,13010250.0,29250.0,107520.0,5.00835218117581,6.25,5.0082781456953915,1.1259,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,2992281.6,65049600.0,4065600.0,1612800.0,70728000.0,2081640000.0,4680000.0,17203200.0,2103523200.0,2177243481.6,2.1772434815999997
1080p,1920,1080,128,128,11,16,4096,50.0,os,run_6a968439397d,bee37f27cd4e,6a968439397d,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,19048.0,17471.0,0.0,285720.0,0.0,1935360,1518720.0,967680.0,120960.0,430080.0,1185540.0,968250.0,2250.0,215040.0,2.884780493389045,12.5,2.884615384615372,1.1259,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,604800.0,2150400.0,7593600.0,154920000.0,360000.0,34406400.0,189686400.0,197725132.8,0.1977251328
720p,1280,720,128,128,3,16,256,50.0,os,run_6c89cd41d8c2,,,full,128,128,50,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,41440.0,39935.0,0.0,2072000.0,0.0,7372800,10291200.0,7372800.0,460800.0,2457600.0,39111700.0,38285000.0,7500.0,819200.0,1.4423438086891198,6.25,1.442307692307674,0.09720000000000001,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1695744.0,36864000.0,2304000.0,12288000.0,51456000.0,6125600000.0,1200000.0,131072000.0,6257872000.0,6311023744.0,6.311023744
720p,1280,720,128,128,3,16,256,50.0,os,run_6c89cd41d8c2,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,41768.0,39935.0,0.0,2088400.0,0.0,14745600,11571200.0,7372800.0,921600.0,3276800.0,39930900.0,38285000.0,7500.0,1638400.0,2.8846876173782396,12.5,2.884615384615348,0.09720000000000001,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4608000.0,16384000.0,57856000.0,6125600000.0,1200000.0,262144000.0,6388944000.0,6450191488.0,6.450191488
1080p,1920,1080,128,128,3,16,256,50.0,os,run_6c89cd41d8c2,ffab7853aa79,76a43c72f110,full,128,128,120,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,41440.0,39935.0,0.0,4972800.0,0.0,17694720,24698880.0,17694720.0,1105920.0,5898240.0,93868080.0,91884000.0,18000.0,1966080.0,1.4423438086891198,6.25,1.442307692307674,0.2187,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4069785.6,88473600.0,5529600.0,29491200.0,123494400.0,14701440000.0,2880000.0,314572800.0,15018892800.0,15146456985.6,15.1464569856
1080p,1920,1080,128,128,3,16,256,50.0,os,run_6c89cd41d8c2,ffab7853aa79,76a43c72f110,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,41768.0,39935.0,0.0,5012160.0,0.0,35389440,27770880.0,17694720.0,2211840.0,7864320.0,95834160.0,91884000.0,18000.0,3932160.0,2.8846876173782396,12.5,2.884615384615348,0.2187,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,11059200.0,39321600.0,138854400.0,14701440000.0,2880000.0,629145600.0,15333465600.0,15480459571.2,15.4804595712
hires,2048,2048,128,128,3,16,256,50.0,os,run_6c89cd41d8c2,d742dcbccaeb,76a43c72f110,full,128,128,256,gaussian_k3,gaussian,16384,1,9,147456,16900,16384,41440.0,39935.0,0.0,10608640.0,0.0,37748736,52690944.0,37748736.0,2359296.0,12582912.0,200251904.0,196019200.0,38400.0,4194304.0,1.4423438086891198,6.25,1.442307692307674,0.442368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8682209.280000001,188743680.0,11796480.0,62914560.0,263454720.0,31363072000.0,6144000.0,671088640.0,32040304640.0,32312441569.28,32.31244156928
hires,2048,2048,128,128,3,16,256,50.0,os,run_6c89cd41d8c2,d742dcbccaeb,76a43c72f110,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,41768.0,39935.0,0.0,10692608.0,0.0,75497472,59244544.0,37748736.0,4718592.0,16777216.0,204446208.0,196019200.0,38400.0,8388608.0,2.8846876173782396,12.5,2.884615384615348,0.442368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23592960.0,83886080.0,296222720.0,31363072000.0,6144000.0,1342177280.0,32711393280.0,33024980418.56,33.02498041856
720p,1280,720,128,128,7,32,256,800.0,os,run_6cce1cbf34cf,,,full,128,128,50,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,56925.0,56831.0,0.0,2846250.0,0.0,40140800,43852800.0,40140800.0,1254400.0,2457600.0,770499200.0,769600000.0,80000.0,819200.0,1.3795287783076138,3.125,1.3795045045045031,0.0603,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9232384.0,200704000.0,6272000.0,12288000.0,219264000.0,123136000000.0,12800000.0,131072000.0,123279872000.0,123508368384.0,123.508368384
720p,1280,720,128,128,7,32,256,800.0,os,run_6cce1cbf34cf,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36465.0,36351.0,0.0,1823250.0,0.0,14745600,11110400.0,7372800.0,460800.0,3276800.0,40158400.0,38480000.0,40000.0,1638400.0,0.7922753156721961,6.25,0.7922535211267545,0.0603,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,2304000.0,16384000.0,55552000.0,6156800000.0,6400000.0,262144000.0,6425344000.0,6484287488.0,6.484287488
1080p,1920,1080,128,128,7,32,256,800.0,os,run_6cce1cbf34cf,7f93625cdd3f,1400908880fe,full,128,128,120,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,56925.0,56831.0,0.0,6831000.0,0.0,96337920,105246720.0,96337920.0,3010560.0,5898240.0,1849198080.0,1847040000.0,192000.0,1966080.0,1.3795287783076138,3.125,1.3795045045045031,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,22157721.6,481689600.0,15052800.0,29491200.0,526233600.0,295526400000.0,30720000.0,314572800.0,295871692800.0,296420084121.6,296.4200841216
1080p,1920,1080,128,128,7,32,256,800.0,os,run_6cce1cbf34cf,7f93625cdd3f,1400908880fe,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36465.0,36351.0,0.0,4375800.0,0.0,35389440,26664960.0,17694720.0,1105920.0,7864320.0,96380160.0,92352000.0,96000.0,3932160.0,0.7922753156721961,6.25,0.7922535211267545,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,5529600.0,39321600.0,133324800.0,14776320000.0,15360000.0,629145600.0,15420825600.0,15562289971.2,15.5622899712
hires,2048,2048,128,128,7,32,256,800.0,os,run_6cce1cbf34cf,81ba7bd4f274,1400908880fe,full,128,128,256,gaussian_k7,gaussian,16384,1,49,802816,17956,16384,56925.0,56831.0,0.0,14572800.0,0.0,205520896,224526336.0,205520896.0,6422528.0,12582912.0,3944955904.0,3940352000.0,409600.0,4194304.0,1.3795287783076138,3.125,1.3795045045045031,0.274432,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,47269806.080000006,1027604480.0,32112640.0,62914560.0,1122631680.0,630456320000.0,65536000.0,671088640.0,631192944640.0,632362846126.08,632.36284612608
hires,2048,2048,128,128,7,32,256,800.0,os,run_6cce1cbf34cf,81ba7bd4f274,1400908880fe,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,36465.0,36351.0,0.0,9335040.0,0.0,75497472,56885248.0,37748736.0,2359296.0,16777216.0,205611008.0,197017600.0,204800.0,8388608.0,0.7922753156721961,6.25,0.7922535211267545,0.274432,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,11796480.0,83886080.0,284426240.0,31522816000.0,32768000.0,1342177280.0,32897761280.0,33199551938.56,33.19955193856
