resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,sobel_3x3,sobel,accelerator.ifmap_sram,read,17694720.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,sobel_3x3,sobel,accelerator.filter_sram,read,1105920.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,7864320.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,17712000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,sobel_3x3,sobel,accelerator.filter_dram,read,48000.0
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,sobel_3x3,sobel,accelerator.ofmap_dram,write,3932160.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,gaussian_k11,gaussian,accelerator.mac_array,mac,507510784.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,gaussian_k11,gaussian,accelerator.ifmap_sram,read,507510784.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,gaussian_k11,gaussian,accelerator.filter_sram,read,15859712.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,gaussian_k11,gaussian,accelerator.ofmap_sram,write,12582912.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,gaussian_k11,gaussian,accelerator.ifmap_dram,read,724838400.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,gaussian_k11,gaussian,accelerator.filter_dram,read,1024000.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,gaussian_k11,gaussian,accelerator.ofmap_dram,write,4194304.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,sobel_3x3,sobel,accelerator.mac_array,mac,75497472.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,sobel_3x3,sobel,accelerator.ifmap_sram,read,37748736.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,sobel_3x3,sobel,accelerator.filter_sram,read,2359296.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,16777216.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,37785600.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,sobel_3x3,sobel,accelerator.filter_dram,read,102400.0
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,sobel_3x3,sobel,accelerator.ofmap_dram,write,8388608.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,gaussian_k11,gaussian,accelerator.mac_array,mac,12390400.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,gaussian_k11,gaussian,accelerator.ifmap_sram,read,12390400.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,gaussian_k11,gaussian,accelerator.filter_sram,read,1210.0
