resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps
1080p,1920,1080,128,128,3,16,256,200.0,ws,4269870.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52294800.0,46020000.0,54000.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,46020000.0,54000.0,6220800.0,52294800.0,450455160.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.26987,256,1093086720.0,0.0,0.45045516,1.9233849740292002,0.0135136548
1080p,1920,1080,128,128,3,16,256,800.0,is,12339285.0,0.0,55987200,47044800.0,37324800.0,3499200.0,6220800.0,194692800.0,188256000.0,216000.0,6220800.0,55987200.0,298598400.0,27993600.0,43545600.0,370137600.0,188256000.0,216000.0,6220800.0,194692800.0,620817600.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.339285,256,3158856960.0,0.0,0.6208176,7.660445299416,0.018624528
1080p,1920,1080,128,128,3,16,256,800.0,os,10136085.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,194692800.0,188256000.0,216000.0,6220800.0,55987200.0,298598400.0,27993600.0,101606400.0,428198400.0,188256000.0,216000.0,6220800.0,194692800.0,678878400.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,10.136085,256,2594837760.0,0.0,0.6788784,6.881169167064,0.020366352
1080p,1920,1080,128,128,3,16,256,800.0,ws,4186905.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,46176000.0,216000.0,6220800.0,52612800.0,450773160.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.186905,256,1071847680.0,0.0,0.45077316,1.8873443974698,0.0135231948
1080p,1920,1080,128,128,3,16,1024,50.0,is,13182735.0,0.0,55987200,47044800.0,37324800.0,3499200.0,6220800.0,43570800.0,37336500.0,13500.0,6220800.0,55987200.0,298598400.0,27993600.0,43545600.0,370137600.0,37336500.0,13500.0,6220800.0,43570800.0,469695600.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,13.182735,256,3374780160.0,0.0,0.4696956,6.191872625466,0.014090868
1080p,1920,1080,128,128,3,16,1024,50.0,os,10979535.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43597800.0,37336500.0,40500.0,6220800.0,55987200.0,298598400.0,27993600.0,101606400.0,428198400.0,37336500.0,40500.0,6220800.0,43597800.0,527783400.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,10.979535,256,2810760960.0,0.0,0.5277834,5.794816312719,0.015833502
1080p,1920,1080,128,128,3,16,1024,50.0,ws,5485485.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,66354300.0,60093000.0,40500.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,60093000.0,40500.0,6220800.0,66354300.0,464514660.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,5.485485,256,1404284160.0,0.0,0.46451466,2.5480881997101,0.0139354398
1080p,1920,1080,128,128,3,16,1024,200.0,is,12529410.0,0.0,55987200,47044800.0,37324800.0,3499200.0,6220800.0,43636800.0,37362000.0,54000.0,6220800.0,55987200.0,298598400.0,27993600.0,43545600.0,370137600.0,37362000.0,54000.0,6220800.0,43636800.0,469761600.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,12.52941,256,3207528960.0,0.0,0.4697616,5.885835688656,0.014092848
1080p,1920,1080,128,128,3,16,1024,200.0,os,10326210.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43636800.0,37362000.0,54000.0,6220800.0,55987200.0,298598400.0,27993600.0,101606400.0,428198400.0,37362000.0,54000.0,6220800.0,43636800.0,527822400.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,10.326210000000001,256,2643509760.0,0.0,0.5278224,5.450404945104001,0.015834672
1080p,1920,1080,128,128,3,16,1024,200.0,ws,4490880.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,66406800.0,60132000.0,54000.0,6220800.0,55987200.0,298598400.0,29160.0,43545600.0,342173160.0,60132000.0,54000.0,6220800.0,66406800.0,464567160.0,0.2187,accelergy_plugin,accelergy_component_library_table_plugin,8.0,7.0,1.0,1.0,4.49088,256,1149665280.0,0.0,0.46456716,2.0863153675008,0.0139370148
