resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,gaussian_k11,gaussian,systolic_array.psum_glb,update,819200.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,gaussian_k11,gaussian,systolic_array.ifmap_dram,read,14172000.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_dram,read,20000.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,gaussian_k11,gaussian,systolic_array.psum_dram,write,819200.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,sobel_3x3,sobel,systolic_array.PE[0..255].mac,mac_random,1843200.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_glb,read,921600.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,sobel_3x3,sobel,systolic_array.weights_glb,read,180.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,sobel_3x3,sobel,systolic_array.psum_glb,update,204800.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,sobel_3x3,sobel,systolic_array.ifmap_dram,read,1640000.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,sobel_3x3,sobel,systolic_array.weights_dram,read,2000.0
720p,1280,720,128,128,11,16,1024,200.0,ws,run_00deb74bc4df,65c798385bba,00deb74bc4df,bottom_edge,sobel_3x3,sobel,systolic_array.psum_dram,write,204800.0
1080p,1920,1080,128,128,11,96,4096,100.0,ws,run_01083bb1e806,4c7e6647eaf6,01083bb1e806,bottom_edge,gaussian_k11,gaussian,systolic_array.PE[0..9215].mac,mac_random,13009920.0
1080p,1920,1080,128,128,11,96,4096,100.0,ws,run_01083bb1e806,4c7e6647eaf6,01083bb1e806,bottom_edge,gaussian_k11,gaussian,systolic_array.ifmap_glb,read,13009920.0
1080p,1920,1080,128,128,11,96,4096,100.0,ws,run_01083bb1e806,4c7e6647eaf6,01083bb1e806,bottom_edge,gaussian_k11,gaussian,systolic_array.weights_glb,read,1815.0
