run_name,status,seconds,resolution,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,tile_class,stdout_tail,stderr_tail,max_rss_gb
run_8a7b4448becc,rss_limit,4.095,720p,11,128,256,800.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.665
run_8a97d2129dd7,completed,4.053,1080p,7,32,4096,200.0,is,bottom_edge,completed run_8a97d2129dd7,,0.764
run_8ac8e8251971,completed,15.147,1080p,11,16,4096,200.0,is,bottom_edge,completed run_8ac8e8251971,,1.612
run_8b19d1df8303,completed,8.091,1080p,11,32,1024,200.0,is,bottom_edge,completed run_8b19d1df8303,,1.713
run_8d8f0165d1c3,completed,3.044,1080p,7,128,256,800.0,is,bottom_edge,completed run_8d8f0165d1c3,,0.930
run_8eabafc6c328,completed,4.052,1080p,7,32,1024,50.0,is,bottom_edge,completed run_8eabafc6c328,,0.766
run_8f23e0a81920,rss_limit,4.098,1080p,7,32,256,200.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.291
run_9179f74a2276,rss_limit,3.082,720p,11,128,256,800.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.094
run_9217f95e6a84,completed,9.095,720p,11,128,4096,800.0,is,full,completed run_9217f95e6a84,,2.014
run_96e7ffc12a74,rss_limit,4.098,720p,11,128,256,200.0,os,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.059
run_97ff86f3b2a8,completed,26.238,1080p,11,8,1024,800.0,is,bottom_edge,completed run_97ff86f3b2a8,,2.025
run_9c493ef1b7bc,completed,15.148,1080p,11,16,1024,50.0,is,bottom_edge,completed run_9c493ef1b7bc,,2.010
run_9eaee686cb04,rss_limit,12.170,1080p,11,16,256,50.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.464
run_9f08e603246d,completed,3.044,1080p,7,128,4096,800.0,is,bottom_edge,completed run_9f08e603246d,,0.909
run_9fef47b1f65d,rss_limit,4.101,720p,11,128,256,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.014
run_a43cca31b838,completed,4.048,1080p,7,32,4096,50.0,is,bottom_edge,completed run_a43cca31b838,,0.773
run_a452fb3b1746,completed,24.225,720p,11,32,4096,50.0,is,full,completed run_a452fb3b1746,,3.371
run_aa27ecffd63f,completed,3.031,1080p,7,64,256,50.0,is,bottom_edge,completed run_aa27ecffd63f,,0.890
run_ab13793307d7,completed,13.127,720p,11,64,4096,800.0,is,full,completed run_ab13793307d7,,3.339
run_b2924456aef5,completed,5.062,1080p,11,128,1024,50.0,is,bottom_edge,completed run_b2924456aef5,,1.886
run_b3a5d60b6427,completed,8.082,1080p,11,32,4096,50.0,is,bottom_edge,completed run_b3a5d60b6427,,1.521
run_b6bda5dc9693,rss_limit,5.112,720p,11,128,256,800.0,os,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.649
run_b6e6131271b1,completed,8.082,720p,11,128,4096,800.0,os,full,completed run_b6e6131271b1,,1.832
run_b746242530c7,completed,26.250,720p,11,32,4096,800.0,is,full,completed run_b746242530c7,,3.372
run_bb3d3787962e,rss_limit,7.120,720p,11,128,1024,50.0,os,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.343
run_bb64521d7fd5,rss_limit,11.166,720p,11,64,1024,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.095
run_be9dbc160739,rss_limit,7.123,720p,11,128,1024,50.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.385
run_beaabf89b684,rss_limit,5.112,1080p,11,64,256,800.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.404
run_c358b3e20898,completed,3.034,1080p,7,128,4096,200.0,is,bottom_edge,completed run_c358b3e20898,,0.909
run_c7eac60cfea1,rss_limit,5.121,720p,11,128,256,50.0,os,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.551
run_ca0a050cb5af,completed,3.038,1080p,7,64,1024,50.0,is,bottom_edge,completed run_ca0a050cb5af,,0.693
