resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps
1080p,1920,1080,128,128,3,16,4096,50.0,os,10979535.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43597800.0,37336500.0,40500.0,6220800.0,12877056.0,787027000.32,73783781.28,249196590.71999997,1110007372.3200002,5973840000.0,6480000.0,995328000.0,6975648000.0,8098532428.32,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,10.979535,0.0,8.09853242832,88.91812024537444,0.24295597284959997
1080p,1920,1080,128,128,3,16,4096,50.0,ws,5610765.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,72618300.0,66357000.0,40500.0,6220800.0,12877056.0,787027000.32,76858.1055,106798538.87999998,893902397.3055,10617120000.0,6480000.0,995328000.0,11618928000.0,12525707453.3055,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,5.610765,0.0,12.5257074533055,70.27880097924563,0.375771223599165
1080p,1920,1080,128,128,3,16,4096,200.0,os,10326210.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43636800.0,37362000.0,54000.0,6220800.0,12877056.0,787027000.32,73783781.28,249196590.71999997,1110007372.3200002,5977920000.0,8640000.0,995328000.0,6981888000.0,8104772428.32,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,10.326210000000001,0.0,8.10477242832,83.69158209704229,0.24314317284959996
1080p,1920,1080,128,128,3,16,4096,200.0,ws,4522080.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,72646800.0,66372000.0,54000.0,6220800.0,12877056.0,787027000.32,76858.1055,106798538.87999998,893902397.3055,10619520000.0,8640000.0,995328000.0,11623488000.0,12530267453.3055,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,4.522080000000001,0.0,12.5302674533055,56.66287184524374,0.375908023599165
1080p,1920,1080,128,128,3,16,4096,800.0,os,10162935.0,0.0,55987200,55339200.0,37324800.0,3499200.0,14515200.0,43900800.0,37464000.0,216000.0,6220800.0,12877056.0,787027000.32,73783781.28,249196590.71999997,1110007372.3200002,5994240000.0,34560000.0,995328000.0,7024128000.0,8147012428.32,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,10.162935,0.0,8.14701242832,82.79755775320831,0.2444103728496
1080p,1920,1080,128,128,3,16,4096,800.0,ws,4249965.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,72868800.0,66432000.0,216000.0,6220800.0,12877056.0,787027000.32,76858.1055,106798538.87999998,893902397.3055,10629120000.0,34560000.0,995328000.0,11659008000.0,12565787453.3055,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,21.085900000000002,17.167975,4,45.0,3.18224,0.795423,4302.53,11.948249145600002,160.0,160.0,4.2499649999999995,0.0,12.5657874533055,53.4041568739875,0.376973623599165
1080p,1920,1080,128,128,3,32,256,50.0,os,9643665.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,193603800.0,187302000.0,81000.0,6220800.0,12877056.0,245861256.96,11524746.42,66891121.919999994,324277125.3,29968320000.0,12960000.0,995328000.0,30976608000.0,31313762181.3,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.643664999999999,0.0,31.3137621813,301.9794323661264,0.939412865439
1080p,1920,1080,128,128,3,32,256,50.0,ws,4614645.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52243800.0,45942000.0,81000.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.68,274552890.528375,7350720000.0,12960000.0,995328000.0,8359008000.0,8646437946.528374,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.614644999999999,0.0,8.646437946528374,39.900241637757425,0.2593931383958512
1080p,1920,1080,128,128,3,32,256,200.0,os,9311850.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,193948800.0,187620000.0,108000.0,6220800.0,12877056.0,245861256.96,11524746.420000002,66891121.919999994,324277125.3,30019200000.0,17280000.0,995328000.0,31031808000.0,31368962181.3,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.31185,0.0,31.3689621813,292.1030704879384,0.941068865439
1080p,1920,1080,128,128,3,32,256,200.0,ws,4282830.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52348800.0,46020000.0,108000.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.68,274552890.528375,7363200000.0,17280000.0,995328000.0,8375808000.0,8663237946.528374,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.28283,0.0,8.663237946528374,37.10317537453012,0.2598971383958512
1080p,1920,1080,128,128,3,32,256,800.0,os,9228885.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,194692800.0,188256000.0,216000.0,6220800.0,12877056.0,245861256.96,11524746.42,66891121.919999994,324277125.3,30120960000.0,34560000.0,995328000.0,31150848000.0,31488002181.3,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,9.228885,0.0,31.4880021813,290.59915101096686,0.944640065439
1080p,1920,1080,128,128,3,32,256,800.0,ws,4199865.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.679999996,274552890.52837497,7388160000.0,34560000.0,995328000.0,8418048000.0,8705477946.528374,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.199865,0.0,8.705477946528374,36.56183213589639,0.2611643383958512
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,385319773.44000006,18061864.380000003,128448270.72000001,531829908.5400001,5973840000.0,12960000.0,995328000.0,6982128000.0,7526834964.54,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.072335,0.0,7.52683496454,75.81280325256,0.22580504893620001
1080p,1920,1080,128,128,3,32,1024,50.0,ws,5567265.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,69835800.0,63534000.0,81000.0,6220800.0,12877056.0,385319773.44000006,37628.884125,55049258.88000001,440406661.20412505,10165440000.0,12960000.0,995328000.0,11173728000.0,11627011717.204124,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,5.567265,0.0,11.627011717204125,64.73065538778042,0.3488103515161237
