resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,32,256,200.0,ws,gaussian,2136225.0,4.158802858336125,accelergy,4282830.0,8.663237946528374,49.87881844481336,48.005178710376825
1080p,1920,1080,128,128,3,32,256,200.0,ws,sobel,2146605.0,4.504435088192249,accelergy,4282830.0,8.663237946528374,50.121181555186645,51.99482128962318
1080p,1920,1080,128,128,3,32,256,800.0,os,gaussian,4613175.0,15.5692681863,accelergy,9228885.0,31.4880021813,49.986265946536335,49.445081007858384
1080p,1920,1080,128,128,3,32,256,800.0,os,sobel,4615710.0,15.918733995,accelergy,9228885.0,31.4880021813,50.013734053463665,50.554918992141616
1080p,1920,1080,128,128,3,32,256,800.0,ws,gaussian,2098665.0,4.179922858336125,accelergy,4199865.0,8.705477946528376,49.96982045851473,48.01485781723243
1080p,1920,1080,128,128,3,32,256,800.0,ws,sobel,2101200.0,4.52555508819225,accelergy,4199865.0,8.705477946528376,50.03017954148527,51.98514218276756
1080p,1920,1080,128,128,3,32,1024,50.0,os,gaussian,5015415.0,3.5831981190600004,accelergy,10072335.0,7.526834964540001,49.79396535162899,47.6056421582373
1080p,1920,1080,128,128,3,32,1024,50.0,os,sobel,5056920.0,3.94363684548,accelergy,10072335.0,7.526834964540001,50.20603464837101,52.3943578417627
1080p,1920,1080,128,128,3,32,1024,50.0,ws,gaussian,2762880.0,5.636290534641375,accelergy,5567265.0,11.627011717204125,49.627240664850696,48.47583086461961
1080p,1920,1080,128,128,3,32,1024,50.0,ws,sobel,2804385.0,5.9907211825627495,accelergy,5567265.0,11.627011717204125,50.37275933514931,51.52416913538039
1080p,1920,1080,128,128,3,32,1024,200.0,os,gaussian,4704315.0,3.58739811906,accelergy,9419010.0,7.53523496454,49.944898667694375,47.60831129940748
1080p,1920,1080,128,128,3,32,1024,200.0,os,sobel,4714695.0,3.94783684548,accelergy,9419010.0,7.53523496454,50.05510133230563,52.39168870059252
1080p,1920,1080,128,128,3,32,1024,200.0,ws,gaussian,2255325.0,5.641330534641376,accelergy,4521030.0,11.637091717204125,49.885203150609485,48.47715109352714
1080p,1920,1080,128,128,3,32,1024,200.0,ws,sobel,2265705.0,5.99576118256275,accelergy,4521030.0,11.637091717204125,50.11479684939052,51.52284890647286
1080p,1920,1080,128,128,3,32,1024,800.0,os,gaussian,4626600.0,3.60419811906,accelergy,9255735.0,7.568834964540001,49.986305787708915,47.61892861907641
1080p,1920,1080,128,128,3,32,1024,800.0,os,sobel,4629135.0,3.9646368454800003,accelergy,9255735.0,7.568834964540001,50.013694212291085,52.381071380923586
1080p,1920,1080,128,128,3,32,1024,800.0,ws,gaussian,2128500.0,5.661970534641375,accelergy,4259535.0,11.678371717204126,49.97024323077519,48.48253396747407
1080p,1920,1080,128,128,3,32,1024,800.0,ws,sobel,2131035.0,6.01640118256275,accelergy,4259535.0,11.678371717204126,50.02975676922481,51.517466032525924
1080p,1920,1080,128,128,3,32,4096,50.0,os,gaussian,5015415.0,3.8420776879200003,accelergy,10072335.0,8.06812053768,49.79396535162899,47.62047951535433
1080p,1920,1080,128,128,3,32,4096,50.0,os,sobel,5056920.0,4.22604284976,accelergy,10072335.0,8.06812053768,50.20603464837101,52.37952048464567
1080p,1920,1080,128,128,3,32,4096,50.0,ws,gaussian,3454680.0,11.388806984488498,accelergy,6950865.0,23.149307453305497,49.701440036599756,49.197182280553655
1080p,1920,1080,128,128,3,32,4096,50.0,ws,sobel,3496185.0,11.760500468817,accelergy,6950865.0,23.149307453305497,50.29855996340024,50.802817719446345
1080p,1920,1080,128,128,3,32,4096,200.0,os,gaussian,4704315.0,3.84627768792,accelergy,9419010.0,8.07652053768,49.944898667694375,47.62295433999914
1080p,1920,1080,128,128,3,32,4096,200.0,os,sobel,4714695.0,4.230242849760001,accelergy,9419010.0,8.07652053768,50.05510133230563,52.37704566000085
1080p,1920,1080,128,128,3,32,4096,200.0,ws,gaussian,2428245.0,11.3928869844885,accelergy,4866870.0,23.1574674533055,49.89336061986451,49.19746516954417
1080p,1920,1080,128,128,3,32,4096,200.0,ws,sobel,2438625.0,11.764580468817,accelergy,4866870.0,23.1574674533055,50.10663938013549,50.80253483045583
1080p,1920,1080,128,128,3,32,4096,800.0,os,gaussian,4626600.0,3.86307768792,accelergy,9255735.0,8.11012053768,49.986305787708915,47.63280237293589
1080p,1920,1080,128,128,3,32,4096,800.0,os,sobel,4629135.0,4.24704284976,accelergy,9255735.0,8.11012053768,50.013694212291085,52.3671976270641
1080p,1920,1080,128,128,3,32,4096,800.0,ws,gaussian,2171700.0,11.409686984488498,accelergy,4345935.0,23.1910674533055,49.97083481460261,49.198627909049684
1080p,1920,1080,128,128,3,32,4096,800.0,ws,sobel,2174235.0,11.781380468817,accelergy,4345935.0,23.1910674533055,50.02916518539738,50.8013720909503
1080p,1920,1080,128,128,3,64,256,50.0,os,gaussian,4574280.0,15.48670739523,accelergy,9190065.0,31.320959808090002,49.77418549270326,49.44518779156277
1080p,1920,1080,128,128,3,64,256,50.0,os,sobel,4615785.0,15.83425241286,accelergy,9190065.0,31.320959808090002,50.22581450729674,50.55481220843722
1080p,1920,1080,128,128,3,64,256,50.0,ws,gaussian,2299530.0,4.156882858336125,accelergy,4640565.0,8.659397946528376,49.552802298858005,48.004294109184045
1080p,1920,1080,128,128,3,64,256,50.0,ws,sobel,2341035.0,4.50251508819225,accelergy,4640565.0,8.659397946528376,50.447197701142,51.99570589081595
1080p,1920,1080,128,128,3,64,256,200.0,os,gaussian,4423935.0,15.512147395229999,accelergy,8858250.0,31.371839808089998,49.94141054948776,49.44608760634374
1080p,1920,1080,128,128,3,64,256,200.0,os,sobel,4434315.0,15.85969241286,accelergy,8858250.0,31.371839808089998,50.05858945051224,50.55391239365626
1080p,1920,1080,128,128,3,64,256,200.0,ws,gaussian,2149185.0,4.163122858336124,accelergy,4308750.0,8.671877946528374,49.87954743255004,48.00716619867503
1080p,1920,1080,128,128,3,64,256,200.0,ws,sobel,2159565.0,4.50875508819225,accelergy,4308750.0,8.671877946528374,50.12045256744996,51.99283380132497
1080p,1920,1080,128,128,3,64,256,800.0,os,gaussian,4386375.0,15.567347395229998,accelergy,8775285.0,31.482239808089997,49.98555602467612,49.44803003256983
1080p,1920,1080,128,128,3,64,256,800.0,os,sobel,4388910.0,15.914892412859999,accelergy,8775285.0,31.482239808089997,50.01444397532387,50.55196996743017
1080p,1920,1080,128,128,3,64,256,800.0,ws,gaussian,2111625.0,4.179922858336125,accelergy,4225785.0,8.705477946528376,49.970005572929054,48.01485781723243
1080p,1920,1080,128,128,3,64,256,800.0,ws,sobel,2114160.0,4.52555508819225,accelergy,4225785.0,8.705477946528376,50.029994427070946,51.98514218276756
1080p,1920,1080,128,128,3,64,1024,50.0,os,gaussian,4788615.0,3.5866678083299997,accelergy,9618735.0,7.53076403235,49.78424917621704,47.62687813510959
